Description	Resource	Path	Location	Type
The method saveMasterEntityTyped(CEntityDB<?>) from the type CComponentListAttachments can be declared as static	CComponentListAttachments.java	/derbent/src/main/java/tech/derbent/app/attachments/view	line 440	Java Problem
The method saveMasterEntityTyped(CEntityDB<?>) from the type CComponentListComments can be declared as static	CComponentListComments.java	/derbent/src/main/java/tech/derbent/app/comments/view	line 431	Java Problem
The method saveMasterEntityTyped(CEntityDB<?>) from the type CComponentListLinks can be declared as static	CComponentListLinks.java	/derbent/src/main/java/tech/derbent/app/links/view	line 511	Java Problem
The method saveMasterEntityTyped(CEntityDB<?>) from the type CComponentListValidationSteps can be declared as static	CComponentListValidationSteps.java	/derbent/src/main/java/tech/derbent/app/validation/validationstep/view	line 512	Java Problem
The method scoreTitleMatch(String, String) from the type CAdaptivePageTest can be declared as static	CAdaptivePageTest.java	/derbent/src/test/java/automated_tests/tech/derbent/ui/automation	line 262	Java Problem
The method setAmount(BigDecimal) of type CProjectIncome should be tagged with @Override since it actually overrides a superinterface method	CProjectIncome.java	/derbent/src/main/java/tech/derbent/app/projectincomes/projectincome/domain	line 147	Java Problem
The method setColor(String) of type CAttachment should be tagged with @Override since it actually overrides a superinterface method	CAttachment.java	/derbent/src/main/java/tech/derbent/app/attachments/domain	line 292	Java Problem
The method setCurrency(CCurrency) of type CProjectIncome should be tagged with @Override since it actually overrides a superinterface method	CProjectIncome.java	/derbent/src/main/java/tech/derbent/app/projectincomes/projectincome/domain	line 161	Java Problem
The method setDescription(String) of type CAttachment should be tagged with @Override since it actually overrides a superclass method	CAttachment.java	/derbent/src/main/java/tech/derbent/app/attachments/domain	line 284	Java Problem
The method setDescription(String) of type CDocumentType should be tagged with @Override since it actually overrides a superclass method	CDocumentType.java	/derbent/src/main/java/tech/derbent/app/documenttypes/domain	line 72	Java Problem
The method setDescription(String) of type CLink should be tagged with @Override since it actually overrides a superclass method	CLink.java	/derbent/src/main/java/tech/derbent/app/links/domain	line 196	Java Problem
The method setDescription(String) of type CValidationSuite should be tagged with @Override since it actually overrides a superclass method	CValidationSuite.java	/derbent/src/main/java/tech/derbent/app/validation/validationsuite/domain	line 125	Java Problem
The method setEntityId(Object, Long) from the type CActivityParentChildTest can be declared as static	CActivityParentChildTest.java	/derbent/src/test/java/tech/derbent/app/activities/service	line 31	Java Problem
The method setUpAuthentication() from the type CBabDataInitializerTest can potentially be declared as static	CBabDataInitializerTest.java	/derbent/src/test/java/tech/derbent/bab/config	line 59	Java Problem
